date,total_value,cash,open_positions_value
2025-03-03,20160830.0,14031800.0,6129030.0
2025-03-04,20129630.0,14031800.0,6097830.0
2025-03-05,20095880.0,14031800.0,6064080.0
2025-03-06,20156270.0,14031800.0,6124470.0
2025-03-07,20217950.0,14031800.0,6186150.0
2025-03-10,20282090.0,11002700.0,9279390.0
2025-03-11,20305040.0,11002700.0,9302340.0
2025-03-12,20341070.0,11002700.0,9338370.0
2025-03-13,20249720.0,11002700.0,9247020.0
2025-03-14,20244572.0,11002700.0,9241872.0
2025-03-17,20363750.0,11002700.0,9361050.0
2025-03-18,20322920.0,11002700.0,9320220.0
2025-03-19,20258330.0,11002700.0,9255630.0
2025-03-20,20266100.0,11002700.0,9263400.0
2025-03-21,20211092.0,11002700.0,9208392.0
2025-03-24,20264120.0,11002700.0,9261420.0
2025-03-25,20249570.0,11002700.0,9246870.0
2025-03-26,20252912.0,11002700.0,9250212.0
2025-03-27,20197400.0,8099100.0,12098300.0
2025-03-28,20145840.0,8099100.0,12046740.0
2025-03-31,20040830.0,8099100.0,11941730.0
2025-04-01,20127660.0,8099100.0,12028560.0
2025-04-02,20149450.0,8099100.0,12050350.0
2025-04-03,19180420.0,2137600.0,17042820.0
2025-04-04,18958740.0,2137600.0,16821140.0
2025-04-07,18958740.0,2137600.0,16821140.0
2025-04-08,17754110.0,262800.0,17491310.0
2025-04-09,16912080.0,262800.0,16649280.0
2025-04-10,18060000.0,262800.0,17797200.0
2025-04-11,19189340.0,262800.0,18926540.0
2025-04-14,19451200.0,262800.0,19188400.0
2025-04-15,19369430.0,262800.0,19106630.0
2025-04-16,19172040.0,262800.0,18909240.0
2025-04-17,19180040.0,262800.0,18917240.0
2025-04-18,19253660.0,262800.0,18990860.0
2025-04-21,19090060.0,262800.0,18827260.0
2025-04-22,19034770.0,262800.0,18771970.0
2025-04-23,19228000.0,262800.0,18965200.0
2025-04-24,19122160.0,262800.0,18859360.0
2025-04-25,18998980.0,262800.0,18736180.0
2025-04-28,19056700.0,262800.0,18793900.0
2025-04-29,19036330.0,262800.0,18773530.0
2025-04-30,19036330.0,262800.0,18773530.0
2025-05-01,19036330.0,262800.0,18773530.0
2025-05-02,19036330.0,262800.0,18773530.0
2025-05-05,19207240.0,262800.0,18944440.0
2025-05-06,19144510.0,262800.0,18881710.0
2025-05-07,19111610.0,262800.0,18848810.0
2025-05-08,19381870.0,262800.0,19119070.0
2025-05-09,19373440.0,262800.0,19110640.0
2025-05-12,19640270.0,262800.0,19377470.0
2025-05-13,19785300.0,262800.0,19522500.0
2025-05-14,20023450.0,262800.0,19760650.0
2025-05-15,20242700.0,262800.0,19979900.0
2025-05-16,19988170.0,262800.0,19725370.0
2025-05-19,19770070.0,262800.0,19507270.0
2025-05-20,20102560.0,262800.0,19839760.0
2025-05-21,20299320.0,262800.0,20036520.0
2025-05-22,20180000.0,262800.0,19917200.0
2025-05-23,20154420.0,262800.0,19891620.0
2025-05-26,20224360.0,262800.0,19961560.0
2025-05-27,20264460.0,262800.0,20001660.0
2025-05-28,20248140.0,262800.0,19985340.0
2025-05-29,20261680.0,262800.0,19998880.0
2025-05-30,20113100.0,262800.0,19850300.0
2025-06-02,20269320.0,262800.0,20006520.0
2025-06-03,20562190.0,262800.0,20299390.0
2025-06-04,20430080.0,262800.0,20167280.0
2025-06-05,20300360.0,262800.0,20037560.0
2025-06-06,20164470.0,262800.0,19901670.0
2025-06-09,20055100.0,262800.0,19792300.0
2025-06-10,20165780.0,262800.0,19902980.0
2025-06-11,20164810.0,262800.0,19902010.0
2025-06-12,20568400.0,262800.0,20305600.0
2025-06-13,20444990.0,262800.0,20182190.0
2025-06-16,20807500.0,262800.0,20544700.0
2025-06-17,20852970.0,262800.0,20590170.0
2025-06-18,21045770.0,262800.0,20782970.0
2025-06-19,21108960.0,262800.0,20846160.0
2025-06-20,21142540.0,262800.0,20879740.0
2025-06-23,20997100.0,262800.0,20734300.0
2025-06-24,21185420.0,262800.0,20922620.0
2025-06-25,21207220.0,262800.0,20944420.0
2025-06-26,21197870.0,262800.0,20935070.0
2025-06-27,21208120.0,262800.0,20945320.0
2025-06-30,21310700.0,262800.0,21047900.0
